Код;Наименование;Цена
А16.07.001.002;Удаление  постоянного зуба;4000
А16.07.001.003;Удаление  зуба сложное с разъединением корней;7500
А16.07.024;"Операция удаления ретинированного, дистопированного, сверхкомплектного зуба";13500
A16.07.058;"Лечение перикоронита (промывание, рассечение и/или иссечение капюшона)";3500
А16.07.017;Пластика альвеолярного отростка ;12500
А16.07.063;Пластика альвеолярного отростка верхней челюсти;12500
А16.07.055;Синус-лифтинг закрытый;25000
А16.07.055;Синус-лифтинг открытый (с применением биокомпозиционного материала);45000
А16.07.054;Внутрикостная дентальная имплантация Имплантат производство Корея;37500
А16.07.054;"Внутрикостная дентальная имплантация Имплантат производство Германия, Швейцария";65000
А16.30.026;Удаление инородного тела кости экстрамедуллярных металлоконструкций;6000
А16.30.026;Удаление имплантата;6000
A16.07.011;"Вскрытие  подслизистого /поднадкостничного  очага воспаления в полости рта;";4000
A16.07.014;Вскрытие и дренирование абсцесса полости рта;4000
A16.07.012;Вскрытие и дренирование одонтогенного абсцесса;4000
А.16.07.007;Резекция верхушки корня;8000
A16.07.097;Наложение швов на слизистую оболочку рта;800
A16.07.059;Гемисекция зуба;10000
А 11.12.009;Взятие крови из периферической вены;300
А 00.07.000;Введение аутологичной плазмы;6000
A16.07.095.002 ;Остановка луночного кровотечения без наложения швов с использованием гемостатических материалов;900
А16.07.095.001;Остановка луночного кровотечения без наложения швов методом тампонады;900
А16.07.013;Отсроченный кюретаж лунки удаленного зуба;1500
А16.07.096;Пластика перфорации верхнечелюстной пазухи;8000
А.16.07.054;Установка формирователя десны;1000
А.16.07.097;Снятие швов;0
