Код;Наименование;Цена
В01.065.001;"Прием (осмотр, консультация) врача стоматолога-терапевта первичный  ";1500
В01.066.001;"Прием (осмотр, консультация) врача стоматолога- ортопеда первичный  ";1500
В01.067.001;"Прием (осмотр, консультация) врача стоматолога-хирурга первичный";2000
В01.065.002;"Прием (осмотр, консультация) врача стоматолога-терапевта повторный на этапах лечения";0
В01.066.001;"Прием (осмотр, консультация) врача стоматолога- ортопеда повторный на этапах лечения";0
В01.067.001;"Прием (осмотр, консультация) врача стоматолога-хирурга повторный на этапах лечения";0
А06.07.012;Радиовизиография;500
В01.003.004.004;Аппликационная анестезия;500
В01.003.004.005;Инфильтрационная анестезия;500
В01.003.004.002;Проводниковая анестезия;500
