Код;Наименование;Цена
А16.07.005;Восстановление целостности зубного ряда несъемным мостовидным протезом: восстановление опорного зуба  коронкой безметалловой фрезерованной;15000
А16.07.005;Восстановление целостности зубного ряда несъемным мостовидным протезом: восстановление промежуточного зуба  коронкой безметалловой фрезерованной;15000
А16.07.005;Восстановление целостности зубного ряда несъемным мостовидным протезом: восстановление опорного зуба  коронкой металлокерамической;10500
А16.07.005;Восстановление целостности зубного ряда несъемным мостовидным протезом: восстановление промежуточного зуба  коронкой металлокерамической;10500
А16.07.005;Восстановление целостности зубного ряда несъемным мостовидным протезом: восстановление опорного зуба  коронкой безметалловой фрезерованной с нанесением керамики;35000
А16.07.005;Восстановление целостности зубного ряда несъемным мостовидным протезом: восстановление промежуточного зуба  коронкой безметалловой фрезерованной с нанесением керамики;35000
А16.07.005;Восстановление целостности зубного ряда несъемным мостовидным протезом (провизорным): восстановление опорного зуба  коронкой провизорной полимерной (прямым способом);3500
А16.07.005;Восстановление целостности зубного ряда несъемным мостовидным протезом (провизорным):  восстановление промежуточного зуба  коронкой провизорной полимерной (прямым способом);3500
А16.07.005;Восстановление целостности зубного ряда несъемным мостовидным протезом (провизорным): восстановление опорного зуба  коронкой провизорной полимерной (лабораторным способом);5500
А16.07.005;Восстановление целостности зубного ряда несъемным мостовидным протезом (провизорным):  восстановление промежуточного зуба  коронкой провизорной полимерной (лабораторным способом);5500
;;
;;
