Код;Наименование;Цена
А16.07.057;Запечатывание фиссуры зуба герметиком;1500
А16.07.002;Восстановление зуба пломбой из композитного светоотверждаемого  материала;5500
А16.07.002;Восстановление зуба (эстетическая реставрация);8500
A16.07.031;Восстановление зуба с использованием анкерных штифтов;7000
А16.07.008;"Пломбирование корневого канала временное / постоянное  -1 канал, в тч инструментальное и/или ультразвуковое расширение корневого канала, инструментальная и медикаментозная обработка";3500
;"Пломбирование корневого канала временное / постоянное - 2 корневых каналов, в тч инструментальное и/или ультразвуковое расширение корневого канала, инструментальная и медикаментозная обработка";5500
;"Пломбирование корневого канала временное / постоянное - 3 корневых каналов и более, в тч инструментальное и/или ультразвуковое расширение корневого канала, инструментальная и медикаментозная обработка";6500
А16.07.008.003;Закрытие перфорации стенки корневого канала зуба;1500
А16.07.002.009;Наложение временной пломбы;800
А22.07.002;Ультразвуковое удаление наддесневых и поддесневых зубных отложений в области 1 зуба;600
А11.07.010;" Введение лекарственных препаратов в пародонтальный карман в области 1 зуба, лечение с помощью аппарата Vector paro pro";800
А16.07.051;Профессиональная гигиена полости рта;5500
А16.07.050;Профессиональное отбеливание зубов всей полости рта (ламповое);25000
А16.07.050;Профессиональное отбеливание зубов  на 1 челюсти (ламповое);15000
А17.07.003;Диатермокоагуляция;400
А16.07.082.001;Распломбировка корневого  канала ранее леченого пастой-1 канал;1500
А16.07.082.002;"Распломбировка корневого  канала ранее леченого фосфат-цементом, резорцин-формальдегидным методом  - 1 канал";2500
A16.07.094;Удаление внутриканального штифта/ вкладки (культевой вкладки)/извлечение из канала инородного тела-1 канал;1300
A11.07.027;Наложение девитализирующей пасты;750
А11.07.024;"Местное применение реминерализующих препаратов ,  1 зуб";750
A11.07.022;Аппликация лекарственного  препарата на слизистую оболочку полости рта;750
А16.07.025;Избирательное пришлифовывание твердых тканей 1 зуба;750
А16.07.025.001;Избирательное полирование зуба;750
A16.07.019;Временное шинирование  при заболеваниях пародонта;6500
